game_pk,home_team,away_team,home_flg,away_flg
746648,Cleveland Guardians,New York Yankees,0,0
746404,Houston Astros,Texas Rangers,1,0
746810,Chicago White Sox,Cincinnati Reds,0,0
745681,Oakland Athletics,Washington Nationals,0,0
745271,Seattle Mariners,Chicago Cubs,0,1
747216,Arizona Diamondbacks,St. Louis Cardinals,0,0
746164,Los Angeles Dodgers,San Diego Padres,0,0
746974,Boston Red Sox,Cleveland Guardians,0,0
747053,Baltimore Orioles,Minnesota Twins,1,0
746488,Detroit Tigers,Texas Rangers,0,0
745597,Philadelphia Phillies,Colorado Rockies,0,0
746080,Miami Marlins,San Francisco Giants,0,0
745106,Tampa Bay Rays,Los Angeles Angels,0,0
744951,Toronto Blue Jays,New York Yankees,0,0
745840,New York Mets,Pittsburgh Pirates,0,0
746813,Chicago White Sox,Kansas City Royals,0,0
746002,Milwaukee Brewers,San Diego Padres,1,0
746406,Houston Astros,Atlanta Braves,1,0
747213,Arizona Diamondbacks,Chicago Cubs,0,0
745677,Oakland Athletics,St. Louis Cardinals,0,1
745268,Seattle Mariners,Cincinnati Reds,1,0
746158,Los Angeles Dodgers,Washington Nationals,1,1
746486,Detroit Tigers,Texas Rangers,0,0
747051,Baltimore Orioles,Minnesota Twins,0,0
745593,Philadelphia Phillies,Colorado Rockies,1,0
746081,Miami Marlins,San Francisco Giants,0,0
745108,Tampa Bay Rays,Los Angeles Angels,0,0
744944,Toronto Blue Jays,New York Yankees,0,0
746976,Boston Red Sox,Cleveland Guardians,0,0
745837,New York Mets,Pittsburgh Pirates,0,0
746004,Milwaukee Brewers,San Diego Padres,1,1
746400,Houston Astros,Atlanta Braves,0,0
747214,Arizona Diamondbacks,Chicago Cubs,0,0
745270,Seattle Mariners,Cincinnati Reds,0,0
745674,Oakland Athletics,St. Louis Cardinals,0,0
746157,Los Angeles Dodgers,Washington Nationals,1,0
746076,Miami Marlins,San Francisco Giants,0,0
747049,Baltimore Orioles,Minnesota Twins,1,0
745836,New York Mets,Pittsburgh Pirates,0,0
746487,Detroit Tigers,Texas Rangers,0,1
746005,Milwaukee Brewers,San Diego Padres,0,0
746401,Houston Astros,Atlanta Braves,1,0
746807,Chicago White Sox,Kansas City Royals,0,0
746809,Chicago White Sox,Kansas City Royals,0,0
744948,Toronto Blue Jays,New York Yankees,0,0
746159,Los Angeles Dodgers,Washington Nationals,0,1
745671,Oakland Athletics,St. Louis Cardinals,0,0
747212,Arizona Diamondbacks,Chicago Cubs,1,0
745267,Seattle Mariners,Cincinnati Reds,0,0
745591,Philadelphia Phillies,Colorado Rockies,1,1
745105,Tampa Bay Rays,Los Angeles Angels,0,1
746973,Boston Red Sox,Cleveland Guardians,0,0
745104,Tampa Bay Rays,Los Angeles Angels,1,0
746485,Detroit Tigers,Texas Rangers,0,1
746970,Boston Red Sox,Cleveland Guardians,1,0
745356,San Francisco Giants,Arizona Diamondbacks,0,0
746892,Chicago Cubs,Miami Marlins,1,0
746729,Cincinnati Reds,Los Angeles Angels,0,0
745518,Pittsburgh Pirates,Boston Red Sox,0,1
745592,Philadelphia Phillies,Chicago White Sox,1,0
744872,Washington Nationals,Houston Astros,0,0
745758,New York Yankees,Tampa Bay Rays,0,0
746650,Cleveland Guardians,Oakland Athletics,0,1
747136,Atlanta Braves,Texas Rangers,1,1
746325,Kansas City Royals,Baltimore Orioles,0,0
745922,Minnesota Twins,Detroit Tigers,1,1
745189,St. Louis Cardinals,Milwaukee Brewers,0,0
745430,San Diego Padres,Toronto Blue Jays,0,1
746160,Los Angeles Dodgers,New York Mets,0,0
745352,San Francisco Giants,Arizona Diamondbacks,0,0
745760,New York Yankees,Tampa Bay Rays,0,0
745921,Minnesota Twins,Detroit Tigers,0,0
745190,St. Louis Cardinals,Milwaukee Brewers,1,1
746893,Chicago Cubs,Miami Marlins,0,0
746891,Chicago Cubs,Miami Marlins,1,0
744865,Washington Nationals,Houston Astros,1,1
746156,Los Angeles Dodgers,New York Mets,1,1
745515,Pittsburgh Pirates,Boston Red Sox,0,1
745354,San Francisco Giants,Arizona Diamondbacks,1,1
745590,Philadelphia Phillies,Chicago White Sox,0,0
746651,Cleveland Guardians,Oakland Athletics,1,0
746726,Cincinnati Reds,Los Angeles Angels,1,1
746324,Kansas City Royals,Baltimore Orioles,0,0
747135,Atlanta Braves,Texas Rangers,0,0
746570,Colorado Rockies,Seattle Mariners,0,0
745431,San Diego Padres,Toronto Blue Jays,0,1
744866,Washington Nationals,Houston Astros,1,0
745514,Pittsburgh Pirates,Boston Red Sox,1,0
745588,Philadelphia Phillies,Chicago White Sox,1,1
745759,New York Yankees,Tampa Bay Rays,1,0
746727,Cincinnati Reds,Los Angeles Angels,0,0
746652,Cleveland Guardians,Oakland Athletics,0,0
746316,Kansas City Royals,Baltimore Orioles,0,0
745920,Minnesota Twins,Detroit Tigers,0,1
745192,St. Louis Cardinals,Milwaukee Brewers,0,0
746894,Chicago Cubs,Miami Marlins,0,0
746568,Colorado Rockies,Seattle Mariners,0,0
746572,Colorado Rockies,Seattle Mariners,1,0
745353,San Francisco Giants,Arizona Diamondbacks,0,0
746154,Los Angeles Dodgers,New York Mets,0,0
745434,San Diego Padres,Toronto Blue Jays,1,0
747133,Atlanta Braves,Texas Rangers,1,0
745757,New York Yankees,Oakland Athletics,0,0
746723,Cincinnati Reds,Philadelphia Phillies,0,0
745519,Pittsburgh Pirates,Milwaukee Brewers,1,0
745107,Tampa Bay Rays,Detroit Tigers,0,1
747134,Atlanta Braves,Miami Marlins,0,0
746319,Kansas City Royals,Toronto Blue Jays,0,0
745916,Minnesota Twins,Chicago White Sox,1,0
745191,St. Louis Cardinals,Arizona Diamondbacks,0,0
746565,Colorado Rockies,San Diego Padres,0,0
746242,Los Angeles Angels,Baltimore Orioles,0,0
745351,San Francisco Giants,New York Mets,0,0
746647,Cleveland Guardians,Boston Red Sox,0,0
746722,Cincinnati Reds,Philadelphia Phillies,1,1
745516,Pittsburgh Pirates,Milwaukee Brewers,1,0
744863,Washington Nationals,Los Angeles Dodgers,0,0
745102,Tampa Bay Rays,Detroit Tigers,0,0
745754,New York Yankees,Oakland Athletics,1,1
747130,Atlanta Braves,Miami Marlins,0,0
746888,Chicago Cubs,Houston Astros,1,0
746321,Kansas City Royals,Toronto Blue Jays,0,0
745917,Minnesota Twins,Chicago White Sox,1,0
745193,St. Louis Cardinals,Arizona Diamondbacks,1,0
745026,Texas Rangers,Seattle Mariners,0,1
746566,Colorado Rockies,San Diego Padres,0,1
746246,Los Angeles Angels,Baltimore Orioles,1,0
745348,San Francisco Giants,New York Mets,0,0
745188,St. Louis Cardinals,Arizona Diamondbacks,0,1
745346,San Francisco Giants,New York Mets,0,0
746244,Los Angeles Angels,Baltimore Orioles,0,0
746649,Cleveland Guardians,Boston Red Sox,0,1
746725,Cincinnati Reds,Philadelphia Phillies,0,1
745513,Pittsburgh Pirates,Milwaukee Brewers,0,0
744864,Washington Nationals,Los Angeles Dodgers,0,1
745099,Tampa Bay Rays,Detroit Tigers,1,1
745753,New York Yankees,Oakland Athletics,1,0
747132,Atlanta Braves,Miami Marlins,1,0
746889,Chicago Cubs,Houston Astros,1,0
746317,Kansas City Royals,Toronto Blue Jays,1,0
745919,Minnesota Twins,Chicago White Sox,0,0
745028,Texas Rangers,Seattle Mariners,0,1
746567,Colorado Rockies,San Diego Padres,0,1
745512,Pittsburgh Pirates,Milwaukee Brewers,1,1
746646,Cleveland Guardians,Boston Red Sox,0,0
746724,Cincinnati Reds,Philadelphia Phillies,0,0
745918,Minnesota Twins,Chicago White Sox,0,0
746887,Chicago Cubs,Houston Astros,0,1
745027,Texas Rangers,Seattle Mariners,1,1
746564,Colorado Rockies,San Diego Padres,1,0
744867,Washington Nationals,Los Angeles Dodgers,0,0
745755,New York Yankees,Oakland Athletics,0,0
746482,Detroit Tigers,Kansas City Royals,0,0
747050,Baltimore Orioles,Oakland Athletics,0,1
744949,Toronto Blue Jays,Los Angeles Dodgers,0,1
746972,Boston Red Sox,Chicago Cubs,0,0
745835,New York Mets,St. Louis Cardinals,0,0
746078,Miami Marlins,Washington Nationals,0,0
747129,Atlanta Braves,Cleveland Guardians,0,1
746808,Chicago White Sox,Tampa Bay Rays,0,0
745025,Texas Rangers,Cincinnati Reds,0,1
746000,Milwaukee Brewers,New York Yankees,0,1
746243,Los Angeles Angels,Minnesota Twins,0,0
745269,Seattle Mariners,Arizona Diamondbacks,1,0
745424,San Diego Padres,Philadelphia Phillies,0,1
745347,San Francisco Giants,Pittsburgh Pirates,0,0
744946,Toronto Blue Jays,Los Angeles Dodgers,0,1
747052,Baltimore Orioles,Oakland Athletics,0,0
745833,New York Mets,St. Louis Cardinals,0,1
745020,Texas Rangers,Cincinnati Reds,0,0
746971,Boston Red Sox,Chicago Cubs,1,0
746075,Miami Marlins,Washington Nationals,1,0
746560,Colorado Rockies,Houston Astros,1,0
746484,Detroit Tigers,Kansas City Royals,0,1
746803,Chicago White Sox,Tampa Bay Rays,0,0
745998,Milwaukee Brewers,New York Yankees,1,1
747131,Atlanta Braves,Cleveland Guardians,0,0
745425,San Diego Padres,Philadelphia Phillies,0,1
745350,San Francisco Giants,Pittsburgh Pirates,0,0
746245,Los Angeles Angels,Minnesota Twins,0,1
745266,Seattle Mariners,Arizona Diamondbacks,0,0
747045,Baltimore Orioles,Oakland Athletics,0,0
747125,Atlanta Braves,Cleveland Guardians,0,0
744947,Toronto Blue Jays,Los Angeles Dodgers,0,0
746483,Detroit Tigers,Kansas City Royals,1,1
745834,New York Mets,St. Louis Cardinals,0,0
746077,Miami Marlins,Washington Nationals,1,0
746805,Chicago White Sox,Tampa Bay Rays,0,0
