date,game_pk,away_score,away_team,home_team,home_score,win_team,lose_team,win_score,lose_score
2024-04-01,744875,8,Pittsburgh Pirates,Washington Nationals,4,Pittsburgh Pirates,Washington Nationals,8,4
2024-04-01,747058,4,Kansas City Royals,Baltimore Orioles,6,Baltimore Orioles,Kansas City Royals,6,4
2024-04-01,745600,6,Cincinnati Reds,Philadelphia Phillies,3,Cincinnati Reds,Philadelphia Phillies,6,3
2024-04-01,746085,7,Los Angeles Angels,Miami Marlins,4,Los Angeles Angels,Miami Marlins,7,4
2024-04-01,745109,9,Texas Rangers,Tampa Bay Rays,3,Texas Rangers,Tampa Bay Rays,9,3
2024-04-01,745842,5,Detroit Tigers,New York Mets,0,Detroit Tigers,New York Mets,5,0
2024-04-01,746409,0,Toronto Blue Jays,Houston Astros,10,Houston Astros,Toronto Blue Jays,10,0
2024-04-01,745675,9,Boston Red Sox,Oakland Athletics,0,Boston Red Sox,Oakland Athletics,9,0
2024-04-01,745277,4,Cleveland Guardians,Seattle Mariners,5,Seattle Mariners,Cleveland Guardians,5,4
2024-04-01,745437,6,St. Louis Cardinals,San Diego Padres,2,St. Louis Cardinals,San Diego Padres,6,2
2024-04-01,747218,5,New York Yankees,Arizona Diamondbacks,2,New York Yankees,Arizona Diamondbacks,5,2
2024-04-01,746170,3,San Francisco Giants,Los Angeles Dodgers,8,Los Angeles Dodgers,San Francisco Giants,8,3
2024-04-02,746009,2,Minnesota Twins,Milwaukee Brewers,3,Milwaukee Brewers,Minnesota Twins,3,2
2024-04-02,747057,4,Kansas City Royals,Baltimore Orioles,1,Kansas City Royals,Baltimore Orioles,4,1
2024-04-02,745598,4,Cincinnati Reds,Philadelphia Phillies,9,Philadelphia Phillies,Cincinnati Reds,9,4
2024-04-02,746086,3,Los Angeles Angels,Miami Marlins,1,Los Angeles Angels,Miami Marlins,3,1
2024-04-02,745111,2,Texas Rangers,Tampa Bay Rays,5,Tampa Bay Rays,Texas Rangers,5,2
2024-04-02,746898,2,Colorado Rockies,Chicago Cubs,12,Chicago Cubs,Colorado Rockies,12,2
2024-04-02,746814,2,Atlanta Braves,Chicago White Sox,3,Chicago White Sox,Atlanta Braves,3,2
2024-04-02,746411,2,Toronto Blue Jays,Houston Astros,1,Toronto Blue Jays,Houston Astros,2,1
2024-04-02,745680,5,Boston Red Sox,Oakland Athletics,4,Boston Red Sox,Oakland Athletics,5,4
2024-04-02,745273,5,Cleveland Guardians,Seattle Mariners,2,Cleveland Guardians,Seattle Mariners,5,2
2024-04-02,745439,5,St. Louis Cardinals,San Diego Padres,2,St. Louis Cardinals,San Diego Padres,5,2
2024-04-02,747220,0,New York Yankees,Arizona Diamondbacks,7,Arizona Diamondbacks,New York Yankees,7,0
2024-04-02,746169,4,San Francisco Giants,Los Angeles Dodgers,5,Los Angeles Dodgers,San Francisco Giants,5,4
2024-04-03,747059,3,Kansas City Royals,Baltimore Orioles,4,Baltimore Orioles,Kansas City Royals,4,3
2024-04-03,745114,4,Texas Rangers,Tampa Bay Rays,1,Texas Rangers,Tampa Bay Rays,4,1
2024-04-03,746083,10,Los Angeles Angels,Miami Marlins,2,Los Angeles Angels,Miami Marlins,10,2
2024-04-03,746008,7,Minnesota Twins,Milwaukee Brewers,3,Minnesota Twins,Milwaukee Brewers,7,3
2024-04-03,745678,1,Boston Red Sox,Oakland Athletics,0,Boston Red Sox,Oakland Athletics,1,0
2024-04-03,747219,6,New York Yankees,Arizona Diamondbacks,5,New York Yankees,Arizona Diamondbacks,6,5
2024-04-03,745603,4,Cincinnati Reds,Philadelphia Phillies,1,Cincinnati Reds,Philadelphia Phillies,4,1
2024-04-03,745275,8,Cleveland Guardians,Seattle Mariners,0,Cleveland Guardians,Seattle Mariners,8,0
2024-04-03,745440,2,St. Louis Cardinals,San Diego Padres,3,San Diego Padres,St. Louis Cardinals,3,2
2024-04-03,744869,3,Pittsburgh Pirates,Washington Nationals,5,Washington Nationals,Pittsburgh Pirates,5,3
2024-04-03,746900,8,Colorado Rockies,Chicago Cubs,9,Chicago Cubs,Colorado Rockies,9,8
2024-04-03,746407,0,Toronto Blue Jays,Houston Astros,8,Houston Astros,Toronto Blue Jays,8,0
2024-04-03,746163,4,San Francisco Giants,Los Angeles Dodgers,5,Los Angeles Dodgers,San Francisco Giants,5,4
2024-04-04,745844,6,Detroit Tigers,New York Mets,3,Detroit Tigers,New York Mets,6,3
2024-04-04,745843,1,Detroit Tigers,New York Mets,2,New York Mets,Detroit Tigers,2,1
2024-04-04,744870,7,Pittsburgh Pirates,Washington Nationals,4,Pittsburgh Pirates,Washington Nationals,7,4
2024-04-04,745928,4,Cleveland Guardians,Minnesota Twins,2,Cleveland Guardians,Minnesota Twins,4,2
2024-04-04,745200,5,Miami Marlins,St. Louis Cardinals,8,St. Louis Cardinals,Miami Marlins,8,5
2024-04-04,746327,1,Chicago White Sox,Kansas City Royals,10,Kansas City Royals,Chicago White Sox,10,1
2024-04-05,745764,3,Toronto Blue Jays,New York Yankees,0,Toronto Blue Jays,New York Yankees,3,0
2024-04-05,746497,4,Oakland Athletics,Detroit Tigers,5,Detroit Tigers,Oakland Athletics,5,4
2024-04-05,746897,7,Los Angeles Dodgers,Chicago Cubs,9,Chicago Cubs,Los Angeles Dodgers,9,7
2024-04-05,746576,7,Tampa Bay Rays,Colorado Rockies,10,Colorado Rockies,Tampa Bay Rays,10,7
2024-04-05,745524,5,Baltimore Orioles,Pittsburgh Pirates,2,Baltimore Orioles,Pittsburgh Pirates,5,2
2024-04-05,745361,2,San Diego Padres,San Francisco Giants,3,San Francisco Giants,San Diego Padres,3,2
2024-04-05,746733,3,New York Mets,Cincinnati Reds,2,New York Mets,Cincinnati Reds,3,2
2024-04-05,744874,4,Philadelphia Phillies,Washington Nationals,0,Philadelphia Phillies,Washington Nationals,4,0
2024-04-05,747143,5,Arizona Diamondbacks,Atlanta Braves,6,Atlanta Braves,Arizona Diamondbacks,6,5
2024-04-05,746328,1,Chicago White Sox,Kansas City Royals,2,Kansas City Royals,Chicago White Sox,2,1
2024-04-05,745033,2,Houston Astros,Texas Rangers,10,Texas Rangers,Houston Astros,10,2
2024-04-05,746007,5,Seattle Mariners,Milwaukee Brewers,6,Milwaukee Brewers,Seattle Mariners,6,5
2024-04-05,746249,8,Boston Red Sox,Los Angeles Angels,6,Boston Red Sox,Los Angeles Angels,8,6
2024-04-06,746498,4,Oakland Athletics,Detroit Tigers,0,Oakland Athletics,Detroit Tigers,4,0
2024-04-06,745926,3,Cleveland Guardians,Minnesota Twins,1,Cleveland Guardians,Minnesota Twins,3,1
2024-04-06,745197,1,Miami Marlins,St. Louis Cardinals,3,St. Louis Cardinals,Miami Marlins,3,1
2024-04-06,746896,4,Los Angeles Dodgers,Chicago Cubs,1,Los Angeles Dodgers,Chicago Cubs,4,1
2024-04-06,745522,4,Baltimore Orioles,Pittsburgh Pirates,5,Pittsburgh Pirates,Baltimore Orioles,5,4
2024-04-06,744873,5,Philadelphia Phillies,Washington Nationals,2,Philadelphia Phillies,Washington Nationals,5,2
2024-04-06,746731,6,New York Mets,Cincinnati Reds,9,Cincinnati Reds,New York Mets,9,6
2024-04-06,745031,2,Houston Astros,Texas Rangers,7,Texas Rangers,Houston Astros,7,2
2024-04-06,745766,8,Toronto Blue Jays,New York Yankees,9,New York Yankees,Toronto Blue Jays,9,8
2024-04-06,746329,0,Chicago White Sox,Kansas City Royals,3,Kansas City Royals,Chicago White Sox,3,0
2024-04-06,746006,5,Seattle Mariners,Milwaukee Brewers,3,Seattle Mariners,Milwaukee Brewers,5,3
2024-04-06,747140,8,Arizona Diamondbacks,Atlanta Braves,9,Atlanta Braves,Arizona Diamondbacks,9,8
2024-04-06,746575,8,Tampa Bay Rays,Colorado Rockies,6,Tampa Bay Rays,Colorado Rockies,8,6
2024-04-06,745359,4,San Diego Padres,San Francisco Giants,0,San Diego Padres,San Francisco Giants,4,0
2024-04-06,746248,1,Boston Red Sox,Los Angeles Angels,2,Los Angeles Angels,Boston Red Sox,2,1
2024-04-07,745523,2,Baltimore Orioles,Pittsburgh Pirates,3,Pittsburgh Pirates,Baltimore Orioles,3,2
2024-04-07,744871,2,Philadelphia Phillies,Washington Nationals,3,Washington Nationals,Philadelphia Phillies,3,2
2024-04-07,747141,2,Arizona Diamondbacks,Atlanta Braves,5,Atlanta Braves,Arizona Diamondbacks,5,2
2024-04-07,745765,3,Toronto Blue Jays,New York Yankees,8,New York Yankees,Toronto Blue Jays,8,3
2024-04-07,746734,3,New York Mets,Cincinnati Reds,1,New York Mets,Cincinnati Reds,3,1
2024-04-07,746493,7,Oakland Athletics,Detroit Tigers,1,Oakland Athletics,Detroit Tigers,7,1
2024-04-07,746330,3,Chicago White Sox,Kansas City Royals,5,Kansas City Royals,Chicago White Sox,5,3
2024-04-07,746003,4,Seattle Mariners,Milwaukee Brewers,12,Milwaukee Brewers,Seattle Mariners,12,4
2024-04-07,745198,10,Miami Marlins,St. Louis Cardinals,3,Miami Marlins,St. Louis Cardinals,10,3
2024-04-07,746895,1,Los Angeles Dodgers,Chicago Cubs,8,Chicago Cubs,Los Angeles Dodgers,8,1
2024-04-07,746574,3,Tampa Bay Rays,Colorado Rockies,2,Tampa Bay Rays,Colorado Rockies,3,2
2024-04-07,745362,2,San Diego Padres,San Francisco Giants,3,San Francisco Giants,San Diego Padres,3,2
2024-04-07,746251,12,Boston Red Sox,Los Angeles Angels,2,Boston Red Sox,Los Angeles Angels,12,2
2024-04-07,745032,3,Houston Astros,Texas Rangers,1,Houston Astros,Texas Rangers,3,1
2024-04-08,746654,0,Chicago White Sox,Cleveland Guardians,4,Cleveland Guardians,Chicago White Sox,4,0
2024-04-08,745761,0,Miami Marlins,New York Yankees,7,New York Yankees,Miami Marlins,7,0
2024-04-08,745520,4,Detroit Tigers,Pittsburgh Pirates,7,Pittsburgh Pirates,Detroit Tigers,7,4
2024-04-08,746735,8,Milwaukee Brewers,Cincinnati Reds,10,Cincinnati Reds,Milwaukee Brewers,10,8
2024-04-08,744956,2,Seattle Mariners,Toronto Blue Jays,5,Toronto Blue Jays,Seattle Mariners,5,2
