date,game_pk,away_score,away_team,home_team,home_score,win_team,lose_team,win_score,lose_score,first_scorer
2024-06-18,745650,5,Kansas City Royals,Oakland Athletics,7,Oakland Athletics,Kansas City Royals,7,5,Oakland Athletics
2024-06-19,747106,0,Detroit Tigers,Atlanta Braves,7,Atlanta Braves,Detroit Tigers,7,0,Atlanta Braves
2024-06-19,745489,0,Cincinnati Reds,Pittsburgh Pirates,1,Pittsburgh Pirates,Cincinnati Reds,1,0,Pittsburgh Pirates
2024-06-19,746050,3,St. Louis Cardinals,Miami Marlins,4,Miami Marlins,St. Louis Cardinals,4,3,Miami Marlins
2024-06-19,745561,5,San Diego Padres,Philadelphia Phillies,2,San Diego Padres,Philadelphia Phillies,5,2,San Diego Padres
2024-06-19,746864,5,San Francisco Giants,Chicago Cubs,6,Chicago Cubs,San Francisco Giants,6,5,Chicago Cubs
2024-06-19,744842,1,Arizona Diamondbacks,Washington Nationals,3,Washington Nationals,Arizona Diamondbacks,3,1,Arizona Diamondbacks
2024-06-19,746625,0,Seattle Mariners,Cleveland Guardians,8,Cleveland Guardians,Seattle Mariners,8,0,Cleveland Guardians
2024-06-19,745732,7,Baltimore Orioles,New York Yankees,6,Baltimore Orioles,New York Yankees,7,6,Baltimore Orioles
2024-06-19,744920,7,Boston Red Sox,Toronto Blue Jays,3,Boston Red Sox,Toronto Blue Jays,7,3,Boston Red Sox
2024-06-19,745887,3,Tampa Bay Rays,Minnesota Twins,2,Tampa Bay Rays,Minnesota Twins,3,2,Tampa Bay Rays
2024-06-19,745002,3,New York Mets,Texas Rangers,5,Texas Rangers,New York Mets,5,3,Texas Rangers
2024-06-19,746781,4,Houston Astros,Chicago White Sox,1,Houston Astros,Chicago White Sox,4,1,Houston Astros
2024-06-19,746538,6,Los Angeles Dodgers,Colorado Rockies,7,Colorado Rockies,Los Angeles Dodgers,7,6,Colorado Rockies
2024-06-19,746219,2,Milwaukee Brewers,Los Angeles Angels,0,Milwaukee Brewers,Los Angeles Angels,2,0,Milwaukee Brewers
2024-06-19,745646,1,Kansas City Royals,Oakland Athletics,5,Oakland Athletics,Kansas City Royals,5,1,Oakland Athletics
2024-06-20,744841,5,Arizona Diamondbacks,Washington Nationals,2,Arizona Diamondbacks,Washington Nationals,5,2,Washington Nationals
2024-06-20,746626,3,Seattle Mariners,Cleveland Guardians,6,Cleveland Guardians,Seattle Mariners,6,3,Seattle Mariners
2024-06-20,745889,7,Tampa Bay Rays,Minnesota Twins,6,Tampa Bay Rays,Minnesota Twins,7,6,Tampa Bay Rays
2024-06-20,746782,5,Houston Astros,Chicago White Sox,3,Houston Astros,Chicago White Sox,5,3,Houston Astros
2024-06-20,746539,5,Los Angeles Dodgers,Colorado Rockies,3,Los Angeles Dodgers,Colorado Rockies,5,3,Los Angeles Dodgers
